DengueYear,DengueWeekNumber,DengueCaseCount,LagYear,LagWeekNumber,LagWeekStartDate,TemperatureMean,TemperatureMax,HumidityMean,HumidityMax,PrecipitationMean,PrecipitationMax,MostCommonWeatherCodeId,MostCommonWeatherDescription,OccurrenceCount,DominantWeatherCategory,IsWetWeek
2014,44,1,2014,42,10-13-2014,27.26,27.80,86.86,88.00,4.60,10.00,51,"Rain, not freezing, continuous",2,Rain,TRUE
2014,45,4,2014,43,10-20-2014,27.16,27.70,86.71,88.00,8.64,17.10,61,"Rain, not freezing, continuous",5,Rain,TRUE
2014,46,6,2014,44,10-27-2014,27.19,27.70,86.86,89.00,8.40,18.30,63,"Rain, not freezing, continuous",3,Rain,TRUE
2014,47,1,2014,45,11-03-2014,26.89,27.30,86.57,89.00,11.36,21.30,63,"Rain, not freezing, continuous",3,Rain,TRUE
2014,48,7,2014,46,11-10-2014,27.30,27.90,85.00,89.00,4.61,16.10,51,"Rain, not freezing, continuous",3,Rain,TRUE
2014,49,3,2014,47,11-17-2014,27.30,27.70,87.29,90.00,5.27,8.90,53,"Rain, not freezing, continuous",5,Rain,TRUE
2014,50,2,2014,48,11-24-2014,27.34,27.80,86.14,88.00,7.06,12.30,53,"Rain, not freezing, continuous",3,Rain,TRUE
2014,51,3,2014,49,12-01-2014,27.31,27.60,86.00,89.00,2.09,4.90,51,"Drizzle, not freezing, continuous",4,Drizzle,TRUE
2014,52,0,2014,50,12-08-2014,27.53,28.00,83.86,85.00,1.61,4.50,51,"Rain, not freezing, continuous",5,Rain,TRUE
2015,1,5,2014,51,12-15-2014,27.41,27.80,86.29,87.00,8.30,18.70,63,"Rain, not freezing, continuous",3,Rain,TRUE
2015,2,6,2014,52,12-22-2014,27.66,28.10,85.57,88.00,2.21,4.50,51,"Rain, not freezing, continuous",3,Rain,TRUE
2015,3,1,2015,1,12-29-2014,27.04,27.60,84.71,87.00,9.29,19.30,61,"Rain, not freezing, continuous",3,Rain,TRUE
2015,4,2,2015,2,01-05-2015,27.09,27.50,83.00,87.00,4.00,14.10,51,"Rain, not freezing, continuous",2,Rain,TRUE
2015,5,5,2015,3,01-12-2015,26.86,27.10,82.86,86.00,0.93,3.60,3,"Rain, not freezing, continuous",4,Rain,TRUE
2015,6,1,2015,4,01-19-2015,26.73,27.30,85.00,88.00,4.21,11.10,51,"Rain, not freezing, continuous",3,Rain,TRUE
2015,7,3,2015,5,01-26-2015,26.83,27.30,83.86,87.00,4.94,12.40,51,"Rain, not freezing, continuous",2,Rain,TRUE
2015,8,0,2015,6,02-02-2015,26.70,27.00,79.86,83.00,0.67,2.00,51,"Drizzle, not freezing, continuous",5,Drizzle,TRUE
2015,9,1,2015,7,02-09-2015,26.69,27.10,84.14,87.00,2.83,7.50,51,"Rain, not freezing, continuous",4,Rain,TRUE
2015,10,3,2015,8,02-16-2015,27.19,27.40,78.86,81.00,0.26,1.10,3,"Drizzle, not freezing, continuous",4,Drizzle,FALSE
2015,11,3,2015,9,02-23-2015,27.43,28.00,79.43,84.00,0.64,3.30,3,"Drizzle, not freezing, continuous",3,Drizzle,FALSE
2015,12,1,2015,10,03-02-2015,27.30,27.70,80.29,83.00,2.34,6.70,51,"Rain, not freezing, continuous",5,Rain,TRUE
2015,13,5,2015,11,03-09-2015,27.49,27.80,77.57,83.00,0.31,1.40,51,"Drizzle, not freezing, continuous",5,Drizzle,TRUE
2015,14,1,2015,12,03-16-2015,27.37,27.60,71.71,80.00,0.13,0.90,0,"Drizzle, not freezing, continuous",2,Drizzle,FALSE
2015,15,2,2015,13,03-23-2015,28.07,28.60,78.14,82.00,2.00,6.70,51,"Drizzle, not freezing, continuous",4,Drizzle,TRUE
2015,16,1,2015,14,03-30-2015,28.50,28.80,77.71,80.00,1.49,4.90,51,"Drizzle, not freezing, continuous",3,Drizzle,TRUE
2015,17,2,2015,15,04-06-2015,27.60,28.30,83.29,88.00,6.21,28.10,51,"Rain, not freezing, continuous",4,Rain,TRUE
2015,18,3,2015,16,04-13-2015,27.83,28.30,84.00,86.00,5.70,11.90,63,"Rain, not freezing, continuous",3,Rain,TRUE
2015,19,2,2015,17,04-20-2015,27.76,28.10,84.57,87.00,4.01,11.60,51,"Rain, not freezing, continuous",2,Rain,TRUE
2015,20,4,2015,18,04-27-2015,27.83,28.40,84.14,86.00,4.11,9.20,61,"Rain, not freezing, continuous",3,Rain,TRUE
2015,21,2,2015,19,05-04-2015,27.84,28.20,83.86,87.00,2.74,8.00,3,"Rain, not freezing, continuous",2,Rain,TRUE
2015,22,4,2015,20,05-11-2015,28.17,28.50,81.43,83.00,2.77,4.60,53,"Rain, not freezing, continuous",3,Rain,TRUE
2015,23,4,2015,21,05-18-2015,28.01,28.50,83.29,88.00,7.30,25.50,51,"Rain, not freezing, continuous",2,Rain,TRUE
2015,24,5,2015,22,05-25-2015,27.77,28.10,85.00,86.00,4.19,6.60,61,"Rain, not freezing, continuous",3,Rain,TRUE
2015,25,2,2015,23,06-01-2015,27.97,28.30,84.71,86.00,4.70,10.60,51,"Rain, not freezing, continuous",3,Rain,TRUE
2015,26,3,2015,24,06-08-2015,27.36,28.10,86.86,88.00,10.97,19.90,61,"Rain, not freezing, continuous",6,Rain,TRUE
2015,27,5,2015,25,06-15-2015,26.93,27.70,88.14,91.00,12.36,38.10,61,"Rain, not freezing, continuous",5,Rain,TRUE
2015,28,1,2015,26,06-22-2015,27.09,27.80,86.29,89.00,8.69,21.10,61,"Rain, not freezing, continuous",3,Rain,TRUE
2015,29,3,2015,27,06-29-2015,26.66,27.40,89.00,92.00,11.33,21.20,61,"Rain, not freezing, continuous",4,Rain,TRUE
2015,30,4,2015,28,07-06-2015,27.24,27.80,87.71,90.00,3.73,10.90,53,"Rain, not freezing, continuous",2,Rain,TRUE
2015,31,3,2015,29,07-13-2015,27.50,27.80,85.00,88.00,0.19,0.90,3,"Drizzle, not freezing, continuous",4,Drizzle,FALSE
2015,32,9,2015,30,07-20-2015,27.23,27.50,84.00,87.00,4.63,11.20,61,"Rain, not freezing, continuous",3,Rain,TRUE
2015,33,1,2015,31,07-27-2015,26.23,26.90,88.86,93.00,18.84,43.90,63,"Rain, not freezing, continuous",3,Rain,TRUE
2015,35,8,2015,33,08-10-2015,27.23,27.70,85.86,89.00,3.57,11.70,3,"Rain, not freezing, continuous",2,Rain,TRUE
2015,36,6,2015,34,08-17-2015,26.80,27.50,87.29,90.00,5.49,12.50,53,"Rain, not freezing, continuous",3,Rain,TRUE
2015,37,7,2015,35,08-24-2015,27.47,27.90,84.57,87.00,1.60,4.30,51,"Drizzle, not freezing, continuous",3,Drizzle,TRUE
2015,38,5,2015,36,08-31-2015,27.47,27.90,83.86,85.00,2.84,6.10,51,"Rain, not freezing, continuous",3,Rain,TRUE
2015,39,4,2015,37,09-07-2015,26.77,27.60,86.86,91.00,6.49,17.50,51,"Rain, not freezing, continuous",3,Rain,TRUE
2015,40,7,2015,38,09-14-2015,27.01,27.60,88.14,89.00,8.06,14.80,61,"Rain, not freezing, continuous",3,Rain,TRUE
2015,41,0,2015,39,09-21-2015,26.87,27.60,87.57,91.00,12.10,26.10,55,"Rain, not freezing, continuous",2,Rain,TRUE
2015,42,6,2015,40,09-28-2015,27.17,27.60,85.71,88.00,4.87,23.50,51,"Rain, not freezing, continuous",3,Rain,TRUE
2015,42,6,2015,40,09-28-2015,27.17,27.60,85.71,88.00,4.87,23.50,51,"Rain, not freezing, continuous",3,Rain,TRUE
2015,43,8,2015,41,10-05-2015,26.96,27.20,88.00,90.00,9.07,15.40,61,"Rain, not freezing, continuous",4,Rain,TRUE
2015,44,3,2015,42,10-12-2015,27.04,27.30,88.00,90.00,10.73,20.60,61,"Rain, not freezing, continuous",3,Rain,TRUE
2015,45,2,2015,43,10-19-2015,27.44,28.00,85.57,88.00,2.37,4.90,51,"Rain, not freezing, continuous",3,Rain,TRUE
2015,46,5,2015,44,10-26-2015,27.70,28.10,84.86,87.00,3.86,9.00,53,"Rain, not freezing, continuous",3,Rain,TRUE
2015,47,7,2015,45,11-02-2015,27.09,27.80,87.43,91.00,9.10,12.90,61,"Rain, not freezing, continuous",4,Rain,TRUE
2015,48,4,2015,46,11-09-2015,27.60,28.10,84.00,87.00,3.40,4.90,51,"Rain, not freezing, continuous",2,Rain,TRUE
2015,49,2,2015,47,11-16-2015,27.47,27.90,85.71,88.00,6.03,14.60,51,"Rain, not freezing, continuous",2,Rain,TRUE
2015,50,3,2015,48,11-23-2015,27.80,28.00,86.57,88.00,5.46,9.80,61,"Rain, not freezing, continuous",5,Rain,TRUE
2015,51,3,2015,49,11-30-2015,27.80,28.20,84.86,88.00,3.49,11.00,61,"Rain, not freezing, continuous",2,Rain,TRUE
2015,52,0,2015,50,12-07-2015,28.06,28.30,84.00,86.00,2.06,3.90,51,"Rain, not freezing, continuous",2,Rain,TRUE
2016,1,10,2015,52,12-21-2015,27.69,27.90,82.71,85.00,0.39,1.30,51,"Drizzle, not freezing, continuous",4,Drizzle,TRUE
2016,2,4,2015,53,12-28-2015,27.63,27.90,81.71,85.00,0.69,1.40,51,"Drizzle, not freezing, continuous",4,Drizzle,TRUE
2016,3,1,2016,1,01-04-2016,27.69,28.20,83.71,86.00,1.37,3.10,51,"Drizzle, not freezing, continuous",4,Drizzle,TRUE
2016,4,3,2016,2,01-11-2016,27.70,27.90,84.43,87.00,1.40,6.00,51,"Rain, not freezing, continuous",3,Rain,TRUE
2016,5,2,2016,3,01-18-2016,27.86,28.20,80.57,83.00,0.43,1.40,51,"Drizzle, not freezing, continuous",4,Drizzle,TRUE
2016,6,4,2016,4,01-25-2016,27.97,28.20,76.29,81.00,0.09,0.20,51,"Drizzle, not freezing, continuous",3,Drizzle,FALSE
2016,7,4,2016,5,02-01-2016,27.99,28.30,82.86,84.00,1.23,4.90,51,"Drizzle, not freezing, continuous",5,Drizzle,TRUE
2016,8,0,2016,6,02-08-2016,27.94,28.60,81.00,87.00,4.84,21.60,51,"Rain, not freezing, continuous",4,Rain,TRUE
2016,9,1,2016,7,02-15-2016,27.79,28.20,80.00,85.00,0.67,1.90,51,"Drizzle, not freezing, continuous",5,Drizzle,TRUE
2016,10,6,2016,8,02-22-2016,28.21,28.70,76.43,83.00,0.90,4.70,51,"Rain, not freezing, continuous",3,Rain,TRUE
2016,11,6,2016,9,02-29-2016,28.07,28.40,82.86,84.00,1.71,3.10,53,"Drizzle, not freezing, continuous",4,Drizzle,TRUE
