PsgcCode,DengueYear,DengueWeekNumber,DengueCaseCount,LagYear,LagWeekNumber,LagWeekStartDate,TemperatureMean,TemperatureMax,HumidityMean,HumidityMax,PrecipitationMean,PrecipitationMax,MostCommonWeatherCodeId,MostCommonWeatherDescription,OccurrenceCount,DominantWeatherCategory,IsWetWeek
0931700001,2014,41,0,2014,39,09-22-2014,26.67,27.10,86.00,88.00,11.13,28.20,63,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2014,42,0,2014,40,09-29-2014,26.80,27.40,86.71,89.00,5.36,8.50,53,"Rain, not freezing, continuous",2,Rain,TRUE
0931700001,2014,43,0,2014,41,10-06-2014,26.53,27.00,86.86,89.00,16.56,30.90,63,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2014,44,1,2014,42,10-13-2014,27.06,27.60,85.86,87.00,4.60,10.00,51,"Rain, not freezing, continuous",2,Rain,TRUE
0931700001,2014,45,1,2014,43,10-20-2014,26.97,27.50,85.29,87.00,8.64,17.10,61,"Rain, not freezing, continuous",5,Rain,TRUE
0931700001,2014,46,0,2014,44,10-27-2014,27.04,27.50,85.57,87.00,8.40,18.30,63,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2014,47,0,2014,45,11-03-2014,26.69,27.20,85.71,88.00,11.36,21.30,63,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2014,48,0,2014,46,11-10-2014,27.27,27.80,83.29,87.00,4.61,16.10,51,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2014,49,0,2014,47,11-17-2014,27.07,27.40,86.14,89.00,5.27,8.90,53,"Rain, not freezing, continuous",5,Rain,TRUE
0931700001,2014,50,0,2014,48,11-24-2014,27.23,27.70,84.71,86.00,7.06,12.30,53,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2014,51,0,2014,49,12-01-2014,27.31,27.60,83.71,86.00,2.09,4.90,51,"Drizzle, not freezing, continuous",4,Drizzle,TRUE
0931700001,2014,52,0,2014,50,12-08-2014,27.41,27.90,82.14,84.00,1.61,4.50,51,"Rain, not freezing, continuous",5,Rain,TRUE
0931700001,2015,1,0,2014,51,12-15-2014,27.26,27.60,84.57,86.00,8.30,18.70,63,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2015,2,0,2014,52,12-22-2014,27.53,27.90,84.00,86.00,2.21,4.50,51,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2015,3,0,2015,1,12-29-2014,26.93,27.50,82.71,84.00,9.29,19.30,61,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2015,4,0,2015,2,01-05-2015,26.94,27.50,81.00,85.00,4.00,14.10,51,"Rain, not freezing, continuous",2,Rain,TRUE
0931700001,2015,5,0,2015,3,01-12-2015,26.93,27.10,79.71,83.00,0.93,3.60,3,"Rain, not freezing, continuous",4,Rain,TRUE
0931700001,2015,6,0,2015,4,01-19-2015,26.80,27.10,82.29,86.00,4.21,11.10,51,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2015,7,1,2015,5,01-26-2015,26.73,27.10,82.29,86.00,4.94,12.40,51,"Rain, not freezing, continuous",2,Rain,TRUE
0931700001,2015,8,1,2015,6,02-02-2015,26.74,27.10,77.14,79.00,0.67,2.00,51,"Drizzle, not freezing, continuous",5,Drizzle,TRUE
0931700001,2015,9,0,2015,7,02-09-2015,26.83,27.30,81.00,85.00,2.83,7.50,51,"Rain, not freezing, continuous",4,Rain,TRUE
0931700001,2015,10,0,2015,8,02-16-2015,27.44,27.70,75.29,78.00,0.26,1.10,3,"Drizzle, not freezing, continuous",4,Drizzle,FALSE
0931700001,2015,11,0,2015,9,02-23-2015,27.67,28.30,75.71,80.00,0.64,3.30,3,"Drizzle, not freezing, continuous",3,Drizzle,FALSE
0931700001,2015,12,0,2015,10,03-02-2015,27.34,27.90,78.00,80.00,2.34,6.70,51,"Rain, not freezing, continuous",5,Rain,TRUE
0931700001,2015,13,0,2015,11,03-09-2015,27.60,27.80,74.71,80.00,0.31,1.40,51,"Drizzle, not freezing, continuous",5,Drizzle,TRUE
0931700001,2015,14,0,2015,12,03-16-2015,27.74,28.10,68.71,79.00,0.13,0.90,0,"Drizzle, not freezing, continuous",2,Drizzle,FALSE
0931700001,2015,15,0,2015,13,03-23-2015,28.01,28.60,76.71,81.00,2.00,6.70,51,"Drizzle, not freezing, continuous",4,Drizzle,TRUE
0931700001,2015,16,0,2015,14,03-30-2015,28.41,28.80,76.86,79.00,1.49,4.90,51,"Drizzle, not freezing, continuous",3,Drizzle,TRUE
0931700001,2015,17,0,2015,15,04-06-2015,27.57,28.20,82.14,85.00,6.21,28.10,51,"Rain, not freezing, continuous",4,Rain,TRUE
0931700001,2015,18,0,2015,16,04-13-2015,27.67,28.20,83.14,85.00,5.70,11.90,63,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2015,19,0,2015,17,04-20-2015,27.64,28.00,83.29,85.00,4.01,11.60,51,"Rain, not freezing, continuous",2,Rain,TRUE
0931700001,2015,20,0,2015,18,04-27-2015,27.79,28.60,82.57,85.00,4.11,9.20,61,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2015,21,0,2015,19,05-04-2015,27.74,28.20,82.57,85.00,2.74,8.00,3,"Rain, not freezing, continuous",2,Rain,TRUE
0931700001,2015,22,0,2015,20,05-11-2015,28.20,28.40,79.71,81.00,2.77,4.60,53,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2015,23,0,2015,21,05-18-2015,27.93,28.40,82.00,85.00,7.30,25.50,51,"Rain, not freezing, continuous",2,Rain,TRUE
0931700001,2015,24,0,2015,22,05-25-2015,27.63,27.80,83.86,85.00,4.19,6.60,61,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2015,25,1,2015,23,06-01-2015,27.80,28.20,83.57,85.00,4.70,10.60,51,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2015,26,0,2015,24,06-08-2015,27.16,28.10,86.00,88.00,10.97,19.90,61,"Rain, not freezing, continuous",6,Rain,TRUE
0931700001,2015,27,3,2015,25,06-15-2015,26.80,27.40,86.57,89.00,12.36,38.10,61,"Rain, not freezing, continuous",5,Rain,TRUE
0931700001,2015,28,0,2015,26,06-22-2015,27.01,27.50,84.86,88.00,8.69,21.10,61,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2015,29,0,2015,27,06-29-2015,26.61,27.30,86.86,89.00,11.33,21.20,61,"Rain, not freezing, continuous",4,Rain,TRUE
0931700001,2015,30,0,2015,28,07-06-2015,27.06,27.60,86.14,88.00,3.73,10.90,53,"Rain, not freezing, continuous",2,Rain,TRUE
0931700001,2015,31,1,2015,29,07-13-2015,27.27,27.60,83.57,86.00,0.19,0.90,3,"Drizzle, not freezing, continuous",4,Drizzle,FALSE
0931700001,2015,32,0,2015,30,07-20-2015,27.17,27.40,82.14,85.00,4.63,11.20,61,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2015,33,1,2015,31,07-27-2015,26.14,26.80,86.86,91.00,18.84,43.90,63,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2015,35,1,2015,33,08-10-2015,26.99,27.40,84.71,89.00,3.57,11.70,3,"Rain, not freezing, continuous",2,Rain,TRUE
0931700001,2015,36,1,2015,34,08-17-2015,26.73,27.30,85.29,87.00,5.49,12.50,53,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2015,37,0,2015,35,08-24-2015,27.34,27.90,82.86,85.00,1.60,4.30,51,"Drizzle, not freezing, continuous",3,Drizzle,TRUE
0931700001,2015,38,0,2015,36,08-31-2015,27.50,28.00,81.86,84.00,2.84,6.10,51,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2015,39,1,2015,37,09-07-2015,26.77,27.70,84.71,88.00,6.49,17.50,51,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2015,40,0,2015,38,09-14-2015,26.91,27.40,86.43,88.00,8.06,14.80,61,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2015,41,0,2015,39,09-21-2015,26.91,27.60,85.57,88.00,12.10,26.10,55,"Rain, not freezing, continuous",2,Rain,TRUE
0931700001,2015,42,0,2015,40,09-28-2015,27.03,27.60,83.57,86.00,4.87,23.50,51,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2015,42,1,2015,40,09-28-2015,27.03,27.60,83.57,86.00,4.87,23.50,51,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2015,43,0,2015,41,10-05-2015,26.80,27.00,86.29,88.00,9.07,15.40,61,"Rain, not freezing, continuous",4,Rain,TRUE
0931700001,2015,44,0,2015,42,10-12-2015,27.04,27.30,86.00,87.00,10.73,20.60,61,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2015,45,1,2015,43,10-19-2015,27.37,28.00,84.29,87.00,2.37,4.90,51,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2015,46,2,2015,44,10-26-2015,27.57,28.10,83.29,87.00,3.86,9.00,53,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2015,47,1,2015,45,11-02-2015,26.81,27.60,86.29,89.00,9.10,12.90,61,"Rain, not freezing, continuous",4,Rain,TRUE
0931700001,2015,48,0,2015,46,11-09-2015,27.50,28.10,82.43,87.00,3.40,4.90,51,"Rain, not freezing, continuous",2,Rain,TRUE
0931700001,2015,49,1,2015,47,11-16-2015,27.33,27.90,84.29,86.00,6.03,14.60,51,"Rain, not freezing, continuous",2,Rain,TRUE
0931700001,2015,50,1,2015,48,11-23-2015,27.67,28.10,84.57,86.00,5.46,9.80,61,"Rain, not freezing, continuous",5,Rain,TRUE
0931700001,2015,51,1,2015,49,11-30-2015,27.76,28.30,82.71,87.00,3.49,11.00,61,"Rain, not freezing, continuous",2,Rain,TRUE
0931700001,2015,52,0,2015,50,12-07-2015,28.14,28.40,80.86,83.00,2.06,3.90,51,"Rain, not freezing, continuous",2,Rain,TRUE
0931700001,2016,1,1,2015,52,12-21-2015,27.71,28.00,80.71,84.00,0.39,1.30,51,"Drizzle, not freezing, continuous",4,Drizzle,TRUE
0931700001,2016,2,2,2015,53,12-28-2015,27.87,28.30,78.00,81.00,0.69,1.40,51,"Drizzle, not freezing, continuous",4,Drizzle,TRUE
0931700001,2016,3,2,2016,1,01-04-2016,27.90,28.30,79.57,81.00,1.37,3.10,51,"Drizzle, not freezing, continuous",4,Drizzle,TRUE
0931700001,2016,4,5,2016,2,01-11-2016,27.79,28.20,81.57,84.00,1.40,6.00,51,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2016,5,0,2016,3,01-18-2016,28.20,28.50,76.43,79.00,0.43,1.40,51,"Drizzle, not freezing, continuous",4,Drizzle,TRUE
0931700001,2016,6,0,2016,4,01-25-2016,28.29,28.40,73.00,77.00,0.09,0.20,51,"Drizzle, not freezing, continuous",3,Drizzle,FALSE
0931700001,2016,7,0,2016,5,02-01-2016,27.93,28.40,81.29,84.00,1.23,4.90,51,"Drizzle, not freezing, continuous",5,Drizzle,TRUE
0931700001,2016,8,0,2016,6,02-08-2016,27.94,28.50,79.71,84.00,4.84,21.60,51,"Rain, not freezing, continuous",4,Rain,TRUE
0931700001,2016,9,1,2016,7,02-15-2016,27.73,28.30,78.86,84.00,0.67,1.90,51,"Drizzle, not freezing, continuous",5,Drizzle,TRUE
0931700001,2016,10,3,2016,8,02-22-2016,28.24,28.80,74.29,81.00,0.90,4.70,51,"Rain, not freezing, continuous",3,Rain,TRUE
0931700001,2016,11,0,2016,9,02-29-2016,27.91,28.20,81.57,82.00,1.71,3.10,53,"Drizzle, not freezing, continuous",4,Drizzle,TRUE
0931700001,2016,12,1,2016,10,03-07-2016,28.10,28.60,81.00,84.00,2.13,6.40,53,"Drizzle, not freezing, continuous",4,Drizzle,TRUE
